Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response,Consumer disputed
1332095,Bank account or service,Checking account,Deposits and withdrawals,,NJ,07031,Referral,04/15/2015,04/17/2015,Hudson City Savings Bank,In progress,Yes,
1332068,Credit reporting,,Incorrect information on credit report,Public record,FL,33317,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1332090,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,NJ,07604,Web,04/15/2015,04/15/2015,Equifax,In progress,Yes,
1332054,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,CO,80516,Web,04/15/2015,04/15/2015,"Professional Finance Company, Inc.",Closed with non-monetary relief,Yes,
1332159,Credit reporting,,Incorrect information on credit report,Account status,TX,77268,Web,04/15/2015,04/15/2015,Equifax,In progress,Yes,
1332402,Mortgage,VA mortgage,"Application, originator, mortgage broker",,CA,92110,Phone,04/15/2015,04/17/2015,Navy FCU,In progress,Yes,
1332139,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,PA,18642,Web,04/15/2015,04/15/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1332359,Bank account or service,Other bank product/service,"Account opening, closing, or management",,UT,84123,Web,04/15/2015,04/15/2015,Navy FCU,In progress,Yes,
1330538,Student loan,Non-federal student loan,Can't repay my loan,,FL,32702,Web,04/15/2015,04/15/2015,Access Group,Closed with explanation,Yes,
1332375,Consumer loan,Vehicle loan,Managing the loan or lease,,AL,35978,Web,04/15/2015,04/15/2015,Capital One,Closed with explanation,Yes,Yes
1334328,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33065,Web,04/15/2015,04/16/2015,"FirstSource Advantage, LLC",Closed with explanation,Yes,
1333903,Credit card,,Transaction issue,,CA,94706,Web,04/15/2015,04/16/2015,JPMorgan Chase,Closed with explanation,Yes,
1333873,Money transfers,Domestic (US) money transfer,Other service issues,,CA,93063,Web,04/15/2015,04/16/2015,MoneyGram,In progress,Yes,
1333928,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,CA,95621,Web,04/15/2015,04/16/2015,Equifax,Closed with explanation,Yes,Yes
1334329,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33065,Web,04/15/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
